,ASV60,ASV135,ASV764,ASV366,ASV293,ASV17,ASV466,ASV578,ASV45,ASV792
ENSMUSG00000023274,0.013779128,0.297742866,0.181601972,0.622911536,0.617158918,0.234726059,0.696340508,0.582738121,0.222461926,0.634213327
ENSMUSG00000033220,0.067191555,0.262446486,0.407239507,0.680288069,0.676462757,0.376794221,0.414808464,0.757575387,0.584579516,0.697594912
ENSMUSG00000018012,0.050423588,0.627280337,0.130679746,0.12046337,0.105854867,0.355336481,0.32141779,0.467771142,0.302518106,0.134889244
ENSMUSG00000025746,0.050054068,0.462561591,3.76E-09,0.74592427,0.735390692,0.391579487,0.740654635,0.76265256,0.426814375,0.750035095
ENSMUSG00000020702,0.029730895,0.439409027,0.034293213,0.66195831,0.655913106,0.265653105,0.731441053,0.682630348,0.350869064,0.673387627
ENSMUSG00000029361,0.973352798,0.480164785,0.790826336,0.770185098,0.779231759,0.451054091,0,0.524161145,0.387244114,0.790826336
ENSMUSG00000020826,0.078685745,0.376666231,2.75E-06,0.935564353,0.935001026,0.285536974,0.644743432,0.737298648,0.423313369,0.940652593
ENSMUSG00000028978,0.95112521,0.867616757,0.076973712,0.129187341,0.130470053,0.440988321,0.76559503,0.240875383,0.689876605,0.16104829
ENSMUSG00000034617,0.241684019,0.980233406,0.842991815,0.694475791,0.687532333,0.806167242,0.294340645,0.6982482,0.453006063,0.699567984
ENSMUSG00000005514,0.03439244,0.137687227,0.224474775,0.474116322,0.486828948,0.05675113,0.18934315,0.118271826,0.128133049,0.532780147
ENSMUSG00000006471,0.473360811,0.082472795,0.219344557,0.937714175,0.959780936,0.645142256,0.569343277,0.786824638,0.727858688,0.911601002
ENSMUSG00000056310,0.017230013,0.284449183,0.740201039,0.455009453,0.450838787,0.435121103,0.211432683,0.721934594,0.24889233,0.438464796
ENSMUSG00000020689,0.01441168,0.734082524,0.071924315,0.599327567,0.581616609,0.697003011,0.29198248,0.799650935,0.545015658,0.584077743
ENSMUSG00000034664,0.651234785,0.752197264,0.052978273,0.788341892,0.78878624,0.948254086,0.176035428,0.960003939,0.419108377,0.813851772
ENSMUSG00000022817,0.543834202,0.929872294,0.858722674,0.588245764,0.598849908,0.816973485,0.023699493,0.586010711,0.325377023,0.616804241
ENSMUSG00000058921,0.000346171,0.0065527,0.134470543,0.322093745,0.370965996,0.000244474,0.764717475,0.007222176,0.001238669,0.361939774
ENSMUSG00000051331,0.008722792,0.40681736,0.306093169,0.976249682,0.947755604,0.775037196,0.112866707,0.630075357,0.223567448,0.985727829
