,ASV60,ASV135,ASV764,ASV366,ASV293,ASV17,ASV466,ASV578,ASV45,ASV792
metab_31,0.038777102,0.076907282,0.754516879,0.919810473,0.928207234,0.567141656,0.710915054,0.650261373,0.80257257,0.918295375
metab_682,0.045787703,0.106911036,0.860583405,0.905302086,0.911456271,0.312066396,0.518630206,0.43018422,0.944706988,0.926949709
metab_933,0.105154242,0.765378023,0.848099757,0.584086721,0.546104128,0.384545664,0.164489251,0.33618381,0.183342026,0.581429212
metab_1010,0.05810177,0.947211248,0.299279418,0.498802085,0.514102572,0.55762026,0.036204932,0.692487293,0.48381465,0.501143576
metab_1288,0.055480482,0.905074123,0.342835161,0.050031447,0.045109223,0.878993944,0.377843583,0.29486939,0.136586701,0.054653868
metab_2887,0.019831442,0.233679109,0.07656092,0.187939951,0.189145559,0.143974576,0.025015439,0.280569393,0.288550545,0.192765501
metab_3454,0.016309674,0.085274436,0.92908705,0.818790215,0.784167548,0.411125055,0.397465995,0.578336752,0.752659436,0.803050519
metab_3466,0.111922053,0.166757185,0.808202854,0.711702858,0.672094544,0.427076111,0.241386634,0.906670616,0.793872847,0.711714968
metab_3873,0.018915515,0.752136006,0.382554841,0.160106333,0.132867494,0.175613502,0.276763545,0.699954271,0.17259088,0.174028536
metab_4373,0.054948623,0.525505738,0.460379131,0.030553125,0.029376588,0.213117534,0.292163256,0.036010555,0.023912537,0.033538863
metab_1246,0.582861632,0.945699634,0.464783687,0.099586959,0.113842659,0.356631545,0.243455337,0.094509912,0.316343173,0.098661085
metab_922,0.861560415,0.972841377,0.568571277,0.392416771,0.409273431,0.558542514,0.140769147,0.076830815,0.203207339,0.407702544
metab_2160,0.535117065,0.817668142,0.639806514,0.409489806,0.439353028,0.349109539,0.387876347,0.265871164,0.702120414,0.410845307
metab_2762,0.394905182,0.711266004,0.568830593,0.732259197,0.820489032,0.284966695,0.664660683,0.097079553,0.351885152,0.726210618
metab_3627,0.670049686,0.69217349,0.562600612,0.021420533,0.023645211,0.24416117,0.561159998,0.024719184,0.005957786,0.021213445
metab_3546,0.922516985,0.876156522,0.97801552,0.12013596,0.125319936,0.325245241,0.986279405,0.024731067,0.011512878,0.123732112
metab_2879,0.039432687,0.860329536,0.286797359,0.37415119,0.323271304,0.655793285,0.744096342,0.411926175,0.507336076,0.363242306
