,ASV60,ASV135,ASV764,ASV366,ASV293,ASV17,ASV466,ASV578,ASV45,ASV792
metab_31,0.490471723,0.42735119,-0.079276847,-0.025559998,-0.02287664,0.144550177,0.0939059,0.114751092,-0.063424176,-0.026044446
metab_682,0.476114917,0.392749949,0.044576601,0.030202693,0.028232316,0.252508175,0.162803598,0.198319378,-0.017610263,0.023278355
metab_933,0.394567077,0.075671375,0.048610583,-0.138337634,-0.152376255,0.218130704,0.342231552,0.240601798,0.328404241,-0.139306838
metab_1010,0.454506863,0.016811604,-0.259043086,-0.170489472,-0.164546229,0.148076088,0.496239164,0.100172407,0.176396524,-0.169574389
metab_1288,0.458794737,0.03027571,-0.237406534,0.468220707,0.477427974,0.03864564,0.221145813,0.261335686,0.364837181,0.460178419
metab_2887,0.543166086,0.295600048,-0.427804189,0.325178159,0.324340979,0.358563129,0.52579799,0.268916083,0.264657056,0.321848391
metab_3454,0.557134785,0.416836288,0.022595615,-0.058127227,-0.069466139,0.206448324,0.212398782,0.140437028,0.079894883,-0.063267722
metab_3466,0.387681335,0.340513302,-0.061582504,-0.093639184,-0.107172754,0.199631835,0.290995881,0.029764394,-0.066275856,-0.093635085
metab_3873,0.546597625,0.080069124,-0.219023269,0.345598367,0.368085328,0.333951089,-0.270973151,0.097626695,0.336165088,0.335108808
metab_4373,0.45968323,0.160170784,-0.185816601,0.510115919,0.513250935,0.308380433,-0.262752772,0.496687648,0.529239148,0.502559669
metab_1246,-0.138784197,-0.01729367,0.184028212,0.400473266,0.385781495,0.230890754,-0.289776087,0.406070215,0.250358215,0.401478364
metab_922,-0.044261329,0.008644998,0.144022995,0.214626469,0.20724866,0.14773342,-0.361257192,0.427451071,0.314827658,0.207929176
metab_2160,-0.156516842,-0.058492953,0.118412975,0.207155035,0.194476299,0.234424985,-0.216643109,0.276958655,0.096889874,0.206569117
metab_2762,-0.213526655,-0.093787072,0.143927432,0.086711949,0.057573725,0.266560511,0.109742971,0.403211047,0.23311584,0.088743946
metab_3627,0.107878743,-0.100279592,-0.146228547,0.537497516,0.530091852,0.289361403,0.146762228,0.526710508,0.620937866,0.538217115
metab_3546,0.024694808,0.039558402,0.006997569,0.379711266,0.374877665,0.245937585,-0.004366904,0.526673742,0.580659431,0.37634296
metab_2879,-0.489048825,-0.044658531,0.265586398,-0.222819635,-0.246911599,0.112822345,-0.082749749,0.206102652,-0.167164075,-0.227819525
