,ASV7,ASV112,ASV113,ASV117,ASV491,ASV800,ASV13,ASV127,ASV581,ASV24,ASV120,ASV1350
ENSMUSG00000027470,0.943577474,0.365355659,0.742719877,0.835687334,0.543456477,0.806479859,0.686299629,0.833859034,0.786533714,0.52668992,0.786533714,0.796491785
ENSMUSG00000022840,0.121397505,0.164391753,0.230743692,0.247923358,0.739262842,0.769229378,0.090409064,0.021369223,0.806865216,0.130348374,0.93051332,0.852560099
ENSMUSG00000045613,0.282993897,0.443674083,0.40040145,0.466030015,0.786340535,0.231558879,0.031027071,0.010210564,0.841970263,0.576839786,0.752641862,0.736128717
ENSMUSG00000007097,0.293263797,0.89861156,0.419035551,0.382520479,0.534151378,0.953474012,0.814603542,0.717396732,0.727393218,0.362135765,0.504969517,0.705680291
ENSMUSG00000070348,0.79874663,0.981074424,0.736209002,0.515673292,0.083290844,0.242867146,0.343396554,0.835902981,0.577301241,0.326787006,0.883640329,0.947173185
ENSMUSG00000007122,0.970672629,0.390094704,0.71110416,0.798114618,0.53615642,0.796640836,0.725997674,0.802175418,0.783366516,0.543812253,0.811155626,0.786606244
ENSMUSG00000049537,0.00397876,0.01690282,0.020111419,0.044974672,0.914526266,0.694905328,0.012927832,0.007720905,0.849338968,0.053208515,0.275800351,0.533523561
ENSMUSG00000033196,0.956621435,0.412940819,0.685250539,0.774247174,0.409383794,0.782602903,0.771534621,0.769879019,0.769873709,0.575808484,0.774958864,0.785155169
ENSMUSG00000021775,0.014718398,0.135880495,0.0796311,0.045089716,0.969568609,0.122239876,0.322975155,0.385395553,0.888898736,0.067315532,0.097515222,0.571608741
ENSMUSG00000059824,0.470669379,0.650030834,0.668176206,0.538752198,0.97308479,0.073555634,0.788461601,0.934329611,0.878783853,0.756017505,0.900489693,0.618235493
ENSMUSG00000033196.1,0.956621435,0.412940819,0.685250539,0.774247174,0.409383794,0.782602903,0.771534621,0.769879019,0.769873709,0.575808484,0.774958864,0.785155169
ENSMUSG00000025464,0.216211584,0.146176967,0.335333028,0.08762412,0.126134886,0.735669663,0.104679206,0.537632659,0.981459179,0.607280551,0.451673052,0.823483856
ENSMUSG00000025283,0.316854391,0.79293567,0.553364732,0.339138812,0.301671355,0.424463079,0.892509165,0.800686415,0.569817171,0.531095578,0.968506218,0.619039901
ENSMUSG00000109904,0.001398622,0.056096302,0.068867074,0.030359335,0.840787419,0.097708373,0.533203584,0.586338401,0.655603419,0.028905895,0.115431252,0.786551579
ENSMUSG00000028957,0.005481379,0.035269,0.03597808,0.054384962,0.791300628,0.380998783,0.24434815,0.116926171,0.753848668,0.005337361,0.03213815,0.807238146
ENSMUSG00000049537.1,0.00397876,0.01690282,0.020111419,0.044974672,0.914526266,0.694905328,0.012927832,0.007720905,0.849338968,0.053208515,0.275800351,0.533523561
ENSMUSG00000022371,0.044349626,0.236641639,0.242193309,0.289011077,0.936213212,0.283440927,0.764321338,0.311000195,0.824787936,0.029043511,0.612402244,0.717257777
ENSMUSG00000068373,0.045555936,0.03483295,0.181579941,0.103351942,0.228473648,0.405425143,0.231162622,0.096745001,0.481498793,0.000540124,0.134189386,0.442618343
