,ASV7,ASV112,ASV113,ASV117,ASV491,ASV800,ASV13,ASV127,ASV581,ASV24,ASV120,ASV1350
ENSMUSG00000027470,-0.017970539,-0.226844381,0.083209531,0.052632584,0.15337059,-0.062145782,-0.102288932,0.053225998,-0.068687443,-0.159718945,-0.068687443,-0.065416613
ENSMUSG00000022840,0.378521652,0.342305779,0.297379041,0.287163784,0.084365385,0.07439623,0.410751869,0.5376753,0.062019778,0.370321617,-0.022140098,0.047168035
ENSMUSG00000045613,0.267614541,0.192679584,0.211110757,0.183523712,0.068750995,0.296883554,0.50887942,0.588391048,0.050595288,0.140985039,-0.079900733,-0.085414649
ENSMUSG00000007097,0.262175511,0.032346658,0.203050651,0.219038697,0.156882603,0.014814923,-0.059492386,0.091714258,0.088346252,0.228331383,0.168083551,0.095680579
ENSMUSG00000070348,0.064677368,0.006023755,-0.085387754,-0.163940867,-0.419258334,0.290122238,-0.237138491,-0.052562609,-0.140816044,0.245179231,0.037151928,-0.016823742
ENSMUSG00000007122,-0.009335613,-0.215656212,0.093841868,0.064884521,0.156123514,-0.065367731,-0.088815577,0.063554198,-0.069729888,-0.153236851,-0.060617827,-0.068663583
ENSMUSG00000049537,0.643241007,0.554625219,0.542142064,0.477690151,0.027249981,0.099347034,0.573014871,0.605698748,-0.048209661,0.462636119,0.271496512,-0.157120555
ENSMUSG00000033196,-0.013811787,-0.205665363,0.102648419,0.072737435,0.207200903,-0.069981382,-0.073633803,0.074181309,-0.074183066,-0.141362931,-0.072502392,-0.069141045
ENSMUSG00000021775,0.564244067,0.365449158,0.42384,0.477465948,0.009687201,0.37773216,0.247058032,0.217750442,-0.035462863,0.440496679,0.402731723,-0.142904805
ENSMUSG00000059824,0.181651657,-0.114831603,0.108526233,0.15514269,-0.008567489,0.431799467,-0.068053417,-0.020921577,-0.038713208,0.078777848,0.03174461,-0.126041207
ENSMUSG00000033196.1,-0.013811787,-0.205665363,0.102648419,0.072737435,0.207200903,-0.069981382,-0.073633803,0.074181309,-0.074183066,-0.141362931,-0.072502392,-0.069141045
ENSMUSG00000025464,-0.30640774,-0.356736051,-0.241013142,-0.414019807,-0.374130668,-0.085568446,-0.395062155,-0.155565448,-0.005901272,-0.129955146,-0.189377187,-0.056598564
ENSMUSG00000025283,-0.250102378,-0.0665835,-0.149660493,-0.239177759,-0.257808119,-0.200739129,-0.034303973,0.064041812,-0.14356403,-0.158042003,-0.010025547,-0.125754902
ENSMUSG00000109904,0.693994541,0.45777394,0.43828021,0.510625784,0.050978607,0.40251971,0.15724188,0.137517887,0.112888444,0.514532446,0.384227209,0.068681566
ENSMUSG00000028957,0.625680209,0.498415911,0.496762758,0.460631937,0.067120442,0.219722702,0.289251677,0.382778369,0.079499135,0.627179678,0.506036931,-0.061897851
ENSMUSG00000049537.1,0.643241007,0.554625219,0.542142064,0.477690151,0.027249981,0.099347034,0.573014871,0.605698748,-0.048209661,0.462636119,0.271496512,-0.157120555
ENSMUSG00000022371,0.478915951,0.293819058,0.290519446,0.264413504,-0.020320316,0.267375309,0.076021534,0.253046883,0.056174173,0.514156108,0.128121812,0.091761177
ENSMUSG00000068373,0.47656178,0.499445255,0.329654909,0.396454001,0.298764762,0.208918269,0.297124267,0.403580177,0.177317186,0.732917878,0.366923682,0.193117728
