,ASV7,ASV112,ASV113,ASV117,ASV491,ASV800,ASV13,ASV127,ASV581,ASV24,ASV120,ASV1350
metab_3466,0.322397717,0.362261288,0.42444335,0.361855844,0.466425279,-0.093635085,0.162225425,0.16738638,0.165456608,0.190418392,-0.179108633,-0.005490488
metab_1871,0.329647969,0.424317859,0.599153402,0.479954742,0.439662463,-0.419598251,0.617634608,0.591433805,-0.239982929,-0.136497881,0.092472761,-0.20093612
metab_682,0.423467159,0.38959556,0.428996024,0.453247656,0.445420968,0.023278355,0.571457445,0.425154773,-0.226215382,-0.019303113,-0.336618533,-0.014536898
metab_1137,0.173320901,0.209041728,0.187041275,0.101545441,0.219554116,0.276974243,0.259689083,0.358407152,0.076856727,0.41640715,-0.044953935,0.033352919
metab_31,0.31072687,0.398465137,0.385833557,0.375990999,0.401793361,-0.026044446,0.589271027,0.523147728,-0.119733473,0.0423759,-0.379507594,-0.060113183
metab_1058,0.285436832,0.337669786,0.100433977,0.15148861,0.03156281,0.045821087,0.246972832,0.304373938,0.239167037,0.639170298,0.151060022,0.256298957
metab_3547,0.135544339,0.137610644,0.017229583,-0.129050442,-0.238959158,0.304083739,0.082653115,0.347729509,0.029752078,0.532565339,0.103257212,0.063879462
metab_3570,0.34454591,0.374128237,0.400464285,0.348210429,0.209058917,0.025822595,0.263858293,0.319614741,0.269801591,0.326770685,0.020479989,-0.009794777
metab_3383,0.301701563,0.078830161,0.181644655,0.270908303,0.038149473,0.223124951,0.005365247,0.005685598,-0.087524152,0.082137969,-0.018491018,0.159022755
metab_2805,0.071629584,0.031714872,-0.085981406,-0.093005602,-0.1114602,0.399598108,0.026960818,0.17620654,0.112456068,0.486531376,0.118142049,0.103927097
metab_2887,0.36980122,0.181479702,0.245822562,0.296016922,0.285583217,0.321848391,0.223934382,0.269367867,0.02419222,0.18784854,-0.212830287,0.018680068
metab_1319,0.181405114,0.087989014,0.12030456,-0.005053785,-0.132770984,0.450246695,0.030196918,0.146838744,0.290710465,0.554400391,0.019498873,-0.14801417
metab_1827,-0.072200101,-0.181707868,-0.11857462,-0.186648159,-0.260018243,0.386110561,-0.196566101,-0.005043131,0.087591387,0.237036782,-0.092099767,0.020931765
metab_1288,0.266702836,0.133081086,0.010328705,0.063943962,-0.05917796,0.460178419,0.147664513,0.22567024,0.167485432,0.552105048,-0.017886794,0.182120081
metab_1374,0.195989094,0.160008264,0.201334743,0.113340691,-0.023525813,0.137100279,0.202038278,0.308638977,-0.08711241,0.313121928,-0.056338119,-0.252707403
metab_3454,0.463380571,0.530335265,0.465868097,0.445187939,0.378926562,-0.063267722,0.366791316,0.366519293,0.201100974,0.387866446,-0.124275883,0.092642022
metab_905,0.386429429,0.301395602,0.211615619,0.376648954,0.222296044,0.350426908,0.114663154,0.040013073,-0.109916515,0.136576553,-0.149094678,0.232892417
metab_2938,0.400207258,0.350304615,0.562488255,0.419348938,0.145700015,-0.218277691,0.321343041,0.326590205,-0.207753588,0.071728408,0.065873089,-0.372631202
