,ASV1,ASV184,ASV182,ASV179,ASV736,ASV186,ASV793,ASV579,ASV930,ASV187,ASV737,ASV37,ASV799,ASV738,ASV802,ASV760,ASV739,ASV196,ASV38
Col10a1,0.591434669,0.262634876,0.584864075,0.509563668,0.177474212,0.576339716,0.638744989,0.638744989,0.212395153,0.509563668,0.177474212,0.394252267,0.638744989,0.177474212,0.638744989,0.096480641,0.177474212,0.509563668,0.394252267
Ucp1,0.207276391,0.911419985,0.719692692,0.100900191,0.459369896,0.603815871,0.598758064,0.459369896,0.459369896,0.100900191,0.459369896,0.459369896,0.598758064,0.459369896,0.598758064,0.159780382,0.459369896,0.100900191,0.459369896
Col2a1,0.531624262,0.621966152,0.950983915,0.638924969,0.778803417,0.589707006,0.925490531,0.707750573,0.212651482,0.638924969,0.778803417,0.394510193,0.925490531,0.778803417,0.925490531,0.096675117,0.778803417,0.638924969,0.394510193
Ucma,0.575163556,0.351393001,0.786148864,0.315920488,0.50763876,0.862708333,0.50763876,0.50763876,0.139971315,0.315920488,0.50763876,0.438366643,0.50763876,0.50763876,0.50763876,0.047268974,0.50763876,0.315920488,0.438366643
Meltf,0.480898646,0.459894294,0.872280853,0.767129359,0.368773684,0.631282086,0.368773684,0.368773684,0.187627533,0.767129359,0.368773684,0.368773684,0.368773684,0.368773684,0.368773684,0.078321141,0.368773684,0.767129359,0.368773684
Gm43546,0.00283887,0.050186561,0.024147888,0.459675153,0.459675153,0.277045817,0.459675153,0.459675153,0.459675153,0.459675153,0.459675153,0.459675153,0.459675153,0.459675153,0.459675153,0.459675153,0.459675153,0.459675153,0.459675153
Pgc,0.032358663,0.39956598,0.228819694,0.287575284,0.287575284,0.113738162,0.566897828,0.205395064,0.287575284,0.287575284,0.287575284,0.287575284,0.566897828,0.287575284,0.566897828,0.287575284,0.287575284,0.287575284,0.287575284
Cyp4a14,0.575163556,0.537633782,0.396030021,0.50763876,0.50763876,0.331059609,0.216456873,0.50763876,0.315920488,0.50763876,0.50763876,0.50763876,0.216456873,0.50763876,0.216456873,0.50763876,0.50763876,0.50763876,0.50763876
Gm18342,0.099158129,0.887637723,0.683355289,0.413525794,0.413525794,0.228219313,0.413525794,0.070129636,0.413525794,0.413525794,0.413525794,0.413525794,0.413525794,0.413525794,0.413525794,0.413525794,0.413525794,0.413525794,0.413525794
Dynap,0.080928147,0.920555798,0.881465881,0.45845106,0.45845106,0.275709292,0.100153278,0.337602786,0.45845106,0.45845106,0.45845106,0.45845106,0.100153278,0.45845106,0.100153278,0.45845106,0.45845106,0.45845106,0.45845106
Mup18,0.06210176,0.402908857,0.227020817,0.28784964,0.28784964,0.113953391,0.633969147,0.849409199,0.28784964,0.28784964,0.28784964,0.924398582,0.633969147,0.28784964,0.633969147,0.28784964,0.28784964,0.28784964,0.924398582
Kng1,0.000824959,0.295662951,0.174354955,0.369934109,0.369934109,0.185264929,0.767664284,0.62156528,0.369934109,0.369934109,0.369934109,0.369934109,0.767664284,0.369934109,0.767664284,0.369934109,0.369934109,0.369934109,0.369934109
Nt5e,0.002037926,0.042839292,0.033966829,0.30301863,0.102494767,0.042870775,0.644202625,0.782175109,0.926650011,0.30301863,0.102494767,0.153728945,0.644202625,0.102494767,0.644202625,0.782175109,0.102494767,0.30301863,0.153728945
Mup19,0.072402233,0.243066393,0.32634035,0.925291887,0.508645577,0.65920338,0.250455883,0.778226106,0.250455883,0.925291887,0.508645577,0.638022371,0.250455883,0.508645577,0.250455883,0.638022371,0.508645577,0.925291887,0.638022371
Mup17,7.55E-05,0.187511008,0.108947442,0.41382277,0.41382277,0.228522883,0.41382277,0.256435758,0.41382277,0.41382277,0.41382277,0.41382277,0.41382277,0.41382277,0.41382277,0.41382277,0.41382277,0.41382277,0.41382277
