,ASV1,ASV184,ASV182,ASV179,ASV736,ASV186,ASV793,ASV579,ASV930,ASV187,ASV737,ASV37,ASV799,ASV738,ASV802,ASV760,ASV739,ASV196,ASV38
Col10a1,-0.135667382,-0.278766247,-0.138054481,0.166300446,-0.332600893,-0.141168239,-0.118786033,-0.118786033,0.308843686,0.166300446,-0.332600893,0.21381486,-0.118786033,-0.332600893,-0.118786033,0.403872513,-0.332600893,0.166300446,0.21381486
Ucp1,-0.312156112,-0.028243929,0.090939425,0.399059133,-0.186227595,0.131198876,0.133019711,-0.186227595,-0.186227595,0.399059133,-0.186227595,-0.186227595,0.133019711,-0.186227595,0.133019711,0.345851248,-0.186227595,0.399059133,-0.186227595
Col2a1,0.157841197,-0.124714621,0.015608705,0.118722765,0.071233659,0.136293967,0.023744553,-0.094978212,0.308679189,0.118722765,0.071233659,0.213700977,0.023744553,0.071233659,0.023744553,0.403657401,0.071233659,0.118722765,0.213700977
Ucma,0.141599394,-0.233347536,-0.068814056,0.25056993,-0.16704662,0.043890986,-0.16704662,-0.16704662,0.361934343,0.25056993,-0.16704662,0.194887723,-0.16704662,-0.16704662,-0.16704662,0.473298757,-0.16704662,0.25056993,0.194887723
Meltf,0.177556127,-0.186013986,-0.040805902,0.075091312,-0.225273937,-0.121415456,-0.225273937,-0.225273937,0.325395687,0.075091312,-0.225273937,0.225273937,-0.225273937,-0.225273937,-0.225273937,0.425517436,-0.225273937,0.075091312,0.225273937
Gm43546,-0.660664818,-0.467941925,-0.528494582,-0.186103236,-0.186103236,-0.270819988,-0.186103236,-0.186103236,-0.186103236,-0.186103236,-0.186103236,-0.186103236,-0.186103236,-0.186103236,-0.186103236,-0.186103236,-0.186103236,-0.186103236,-0.186103236
Pgc,-0.505481846,-0.211476823,-0.298552953,-0.265173604,-0.265173604,-0.385884274,0.144640147,0.313386986,-0.265173604,-0.265173604,-0.265173604,-0.265173604,0.144640147,-0.265173604,0.144640147,-0.265173604,-0.265173604,-0.265173604,-0.265173604
Cyp4a14,-0.141599394,-0.155565024,-0.213030747,-0.16704662,-0.16704662,-0.243088538,0.306252137,-0.16704662,0.25056993,-0.16704662,-0.16704662,-0.16704662,0.306252137,-0.16704662,0.306252137,-0.16704662,-0.16704662,-0.16704662,-0.16704662
Gm18342,-0.40093795,-0.035867784,-0.103298332,-0.205413512,-0.205413512,-0.298920567,0.205413512,0.436503714,-0.205413512,-0.205413512,-0.205413512,-0.205413512,0.205413512,-0.205413512,0.205413512,-0.205413512,-0.205413512,-0.205413512,-0.205413512
Dynap,-0.422198913,0.025321714,-0.037850819,-0.186602173,-0.186602173,-0.271546048,0.3998618,0.23991708,-0.186602173,-0.186602173,-0.186602173,-0.186602173,0.3998618,-0.186602173,0.3998618,-0.186602173,-0.186602173,-0.186602173,-0.186602173
Mup18,-0.448234757,-0.210014602,-0.299656273,-0.265028184,-0.265028184,-0.385672657,0.120467356,0.048186942,-0.265028184,-0.265028184,-0.265028184,-0.024093471,0.120467356,-0.265028184,0.120467356,-0.265028184,-0.265028184,-0.265028184,-0.024093471
Kng1,-0.716347949,-0.260921625,-0.334869801,-0.22474263,-0.22474263,-0.327048565,0.07491421,0.124857017,-0.22474263,-0.22474263,-0.22474263,-0.22474263,0.07491421,-0.22474263,0.07491421,-0.22474263,-0.22474263,-0.22474263,-0.22474263
Nt5e,-0.676783407,-0.481933139,-0.501519614,-0.257115105,-0.397359707,-0.481869425,-0.116870502,0.070122301,-0.0233741,-0.257115105,-0.397359707,-0.350611506,-0.116870502,-0.397359707,-0.116870502,-0.070122301,-0.397359707,-0.257115105,-0.350611506
Mup19,-0.433364786,-0.290004922,-0.245398713,-0.023808024,0.16665617,0.111636351,-0.285696291,-0.071424073,-0.285696291,-0.023808024,0.16665617,-0.119040121,-0.285696291,0.16665617,-0.285696291,0.119040121,0.16665617,-0.023808024,-0.119040121
Mup17,-0.796797768,-0.325476881,-0.390670116,-0.205285728,-0.205285728,-0.298734614,-0.205285728,0.282267876,-0.205285728,-0.205285728,-0.205285728,-0.205285728,-0.205285728,-0.205285728,-0.205285728,-0.205285728,-0.205285728,-0.205285728,-0.205285728
