,ASV1,ASV184,ASV182,ASV179,ASV736,ASV186,ASV930,ASV187,ASV737,ASV37,ASV738,ASV760,ASV739,ASV196,ASV38
metab_31,0.371428571,0.637535578,0.81167945,-0.130930734,0.130930734,0.03380617,-0.654653671,-0.130930734,0.130930734,-0.392792202,0.130930734,0.392792202,0.130930734,-0.130930734,-0.392792202
metab_682,-0.257142857,0.212511859,0.347862621,0.130930734,-0.654653671,-0.507092553,-0.392792202,0.130930734,-0.654653671,-0.130930734,-0.654653671,0.392792202,-0.654653671,0.130930734,-0.130930734
metab_1010,0.028571429,-0.333947207,-0.579771036,-0.130930734,0.130930734,0.03380617,0.654653671,-0.130930734,0.130930734,0.392792202,0.130930734,-0.654653671,0.130930734,-0.130930734,0.392792202
metab_1097,-0.142857143,0.576817904,0.695725243,0.654653671,-0.130930734,0.304255532,-0.392792202,0.654653671,-0.130930734,-0.654653671,-0.130930734,0.130930734,-0.130930734,0.654653671,-0.654653671
metab_1246,-0.257142857,0.394664881,0.49280538,0.654653671,-0.392792202,0.06761234,-0.130930734,0.654653671,-0.392792202,-0.654653671,-0.392792202,0.130930734,-0.392792202,0.654653671,-0.654653671
metab_1288,0.257142857,-0.51610023,-0.608759587,-0.392792202,0.392792202,0.101418511,0.654653671,-0.392792202,0.392792202,0.130930734,0.392792202,-0.130930734,0.392792202,-0.392792202,0.130930734
metab_1374,0.371428571,0.030358837,-0.173931311,-0.130930734,0.654653671,0.507092553,0.392792202,-0.130930734,0.654653671,0.130930734,0.654653671,-0.654653671,0.654653671,-0.130930734,0.130930734
metab_1871,0.2,0.576817904,0.753702346,0.130930734,-0.130930734,-0.03380617,-0.392792202,0.130930734,-0.130930734,-0.654653671,-0.130930734,0.392792202,-0.130930734,0.130930734,-0.654653671
metab_2364,-0.314285714,0.273229533,0.463816829,0.654653671,0.130930734,0.540898723,-0.654653671,0.654653671,0.130930734,-0.392792202,0.130930734,0.392792202,0.130930734,0.654653671,-0.392792202
metab_3454,0.314285714,0.273229533,0.49280538,-0.392792202,0.130930734,-0.135224681,-0.654653671,-0.392792202,0.130930734,-0.130930734,0.130930734,0.654653671,0.130930734,-0.392792202,-0.130930734
metab_3483,0.257142857,0.394664881,0.637748139,-0.130930734,0.130930734,0.03380617,-0.654653671,-0.130930734,0.130930734,-0.392792202,0.130930734,0.654653671,0.130930734,-0.130930734,-0.392792202
metab_3547,-0.2,-0.333947207,-0.463816829,0.392792202,0.130930734,0.371867872,0.654653671,0.392792202,0.130930734,-0.130930734,0.130930734,-0.392792202,0.130930734,0.392792202,-0.130930734
metab_3973,-0.028571429,0.698253252,0.81167945,0.392792202,-0.130930734,0.135224681,-0.654653671,0.392792202,-0.130930734,-0.392792202,-0.130930734,0.130930734,-0.130930734,0.392792202,-0.392792202
