Gene.id,Gene.name,Gene.description,FC,Pvalue,Padjust,Regulate
ENSMUSG00000021775,Nr1d2,"nuclear receptor subfamily 1, group D, member 2 [Source:MGI Symbol;Acc:MGI:2449205]",0.346259081,5.21E-07,0.004718036,down
ENSMUSG00000059824,Dbp,D site albumin promoter binding protein [Source:MGI Symbol;Acc:MGI:94866],0.147432358,5.68E-07,0.004718036,down
ENSMUSG00000021775,Nr1d2,"nuclear receptor subfamily 1, group D, member 2 [Source:MGI Symbol;Acc:MGI:2449205]",0.346259081,5.21E-07,0.004718036,down
ENSMUSG00000059824,Dbp,D site albumin promoter binding protein [Source:MGI Symbol;Acc:MGI:94866],0.147432358,5.68E-07,0.004718036,down
ENSMUSG00000027470,Mylk2,"myosin, light polypeptide kinase 2, skeletal muscle [Source:MGI Symbol;Acc:MGI:2139434]",0.014349644,1.67E-06,0.005844679,down
ENSMUSG00000033196,Myh2,"myosin, heavy polypeptide 2, skeletal muscle, adult [Source:MGI Symbol;Acc:MGI:1339710]",0.000889058,2.11E-06,0.005844679,down
ENSMUSG00000027470,Mylk2,"myosin, light polypeptide kinase 2, skeletal muscle [Source:MGI Symbol;Acc:MGI:2139434]",0.014349644,1.67E-06,0.005844679,down
ENSMUSG00000033196,Myh2,"myosin, heavy polypeptide 2, skeletal muscle, adult [Source:MGI Symbol;Acc:MGI:1339710]",0.000889058,2.11E-06,0.005844679,down
ENSMUSG00000109904,Gm45819,predicted gene 45819 [Source:MGI Symbol;Acc:MGI:5804934],0.351652581,3.92E-06,0.008142538,down
ENSMUSG00000109904,Gm45819,predicted gene 45819 [Source:MGI Symbol;Acc:MGI:5804934],0.351652581,3.92E-06,0.008142538,down
ENSMUSG00000007122,Casq1,calsequestrin 1 [Source:MGI Symbol;Acc:MGI:1309468],0.031566863,5.62E-06,0.009332757,down
ENSMUSG00000028957,Per3,period circadian clock 3 [Source:MGI Symbol;Acc:MGI:1277134],0.34921227,5.31E-06,0.009332757,down
ENSMUSG00000007122,Casq1,calsequestrin 1 [Source:MGI Symbol;Acc:MGI:1309468],0.031566863,5.62E-06,0.009332757,down
