category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,sign,Enriched group
Human Diseases,Infectious disease: viral,mmu05169,Epstein-Barr virus infection - Mus musculus (house mouse),114/1643,228/9577,0.5,2.914485697,13.3137906,8.72E-31,2.96E-28,2.06E-28,Cd3g/Ccne1/Psmc3/Irf9/Relb/Calr/Bax/Stat3/Bid/Cd44/Psmd4/Cd247/Cdk4/H2-M3/Psmd3/Cd40/Tnfaip3/Tbk1/Psmc5/Psmd12/Map3k14/Nfkbia/Traf3/Ripk1/Syk/Myc/Ifnar2/Cdkn1a/Nfkbie/Eif2ak2/Tapbp/H2-Oa/Tap2/Tnf/Nfkb2/Cdk2/Irf7/Il6/Casp8/Stat1/Psmd14/Traf2/Pdia3/Bcl2l11/E2f1/Ccna2/Tlr2/Ccne2/Hdac1/Psmc2/Oas1b/Psmd8/Nfkbib/Psmc4/Cd19/Itgal/Btk/Ikbkb/Sap30/Casp3/Jak3/Cd3e/Cd3d/Tyk2/Myd88/Oas3/Oas2/Ccnd3/Plcg2/Cxcl10/Isg15/H2-Q4/H2-Ea/H2-Aa/Tap1/H2-DMb2/H2-DMa/Adrm1/Psmd7/Pik3cd/Stat2/Rigi/H2-Ob/Lyn/Ikbke/H2-T24/Skp2/H2-T22/Bak1/Irak4/H2-Q7/H2-Eb1/B2m/Blnk/H2-K1/Cycs/H2-T23/H2-Q10/H2-Eb2/Runx3/H2-Bl/H2-Q6/H2-D1/H2-Ab1/H2-T10/H2-Q1/H2-DMb1/H2-Q2/Apaf1/Nfkb1/Icam1/Entpd1/Ifnb1/Trp53,114,yes,Severe
Human Diseases,Infectious disease: viral,mmu05168,Herpes simplex virus 1 infection - Mus musculus (house mouse),105/1643,213/9577,0.492957746,2.873436603,12.58238161,9.29E-28,1.58E-25,1.10E-25,Fasl/Cfp/Daxx/Irf9/Calr/Bax/Il12b/Bid/Ppp1cc/Tnfsf14/Pou2f2/Nxf2/H2-M3/Tbk1/Nfkbia/Eif2s1/Traf3/Syk/Ifngr2/Ifnar2/Eif2ak2/C3/Tapbp/H2-Oa/Tap2/Sting1/Tnf/Lta/Cd74/Jak2/Alyref/Irf7/Il6/Casp8/Stat1/Sp100/Ifih1/Card9/Traf2/Pdia3/Il1b/Tlr2/Srsf9/Oas1b/Zc3hav1/Ikbkb/Casp3/Birc3/Tyk2/Cgas/Myd88/Oas3/Oas2/Srsf2/Ccl5/Ccl12/Ccl2/H2-Q4/H2-Ea/H2-Aa/Pml/Tap1/H2-DMb2/H2-DMa/Pik3cd/Stat2/Rigi/Ppp1ca/H2-Ob/Tnfrsf14/Ikbke/Tlr9/Pilra/Bst2/Ticam1/Socs3/H2-T24/Ifng/H2-T22/Birc2/Bak1/Irak4/H2-Q7/H2-Eb1/B2m/H2-K1/Cycs/Pilrb2/Pilrb1/H2-T23/H2-Q10/H2-Eb2/H2-Bl/H2-Q6/H2-D1/H2-Ab1/H2-T10/H2-Q1/H2-DMb1/H2-Q2/Apaf1/Itgb3/Nfkb1/Ifnb1/Trp53,105,yes,Severe
Human Diseases,Infectious disease: viral,mmu05171,Coronavirus disease - COVID-19 - Mus musculus (house mouse),133/1643,334/9577,0.398203593,2.321117351,11.18337546,1.31E-23,1.49E-21,1.04E-21,Mx1/Rpl13/Irf9/Rps11/Rpl8/Stat3/Il12b/Rps9/Rplp1/Rps18/Rpl10/Rps15a/Rps25/Rpl15/Rps5/Cybb/Rpl19/Tbk1/Rps27a/Nfkbia/Traf3/Syk/Ifnar2/Mx2/Eif2ak2/C3/Sting1/C2/Tnf/Rps14/Rps24/Rps26/Rplp2/Il6/Rpl14/Casp1/Stat1/Selp/Ifih1/Il1b/Adar/Tlr2/Rps20/Rps6/Oas1b/Rpl6/Rpl28/Nfkbib/Rps3/Rps4x/Ikbkb/Tyk2/Cgas/Rpl4/Myd88/Rpsa/Oas3/Oas2/Nlrp3/Plcg2/Cxcl10/Ccl12/Ccl2/Isg15/C1qa/C1qc/C1qb/Rps16/Rpl10a/Csf3/Fau/C1s1/Rpl12/Rpl39l/Pik3cd/Stat2/Rigi/Tlr8/C3ar1/Rps19/Rpl37/Ikbke/Rps2/Tlr7/Rpl18a/Rpl27a/Rpl9/Rps8/Rpl29/C5ar1/Rps23/Rpl36al/Rps10/Prkcb/C1ra/Rpl38/Rpl32/Rpl36/Rpl23a/Rpl30/Rpl18/Rpl11/Fcgr3/Irak4/Rpl3/Rpl35a/Rpl26/Rps7/Rps12/Rpl34/Rpl17/Rpl7a/Rpl35/Rpl27/Rplp0/Rpl23/C4b/Rpl31/Rpl13a/C1s2/Rpl39/Gm15501/Uba52/Cfb/Rps13/Rpl41/Rpl24/C1rb/Hbegf/Nfkb1/Tlr4/Ifnb1/Adam17,133,yes,Severe
Human Diseases,Infectious disease: viral,mmu05164,Influenza A - Mus musculus (house mouse),82/1643,174/9577,0.471264368,2.746986519,10.58268117,2.57E-20,2.18E-18,1.52E-18,Trim25/Mx1/Fasl/Irf9/Bax/Il12b/Bid/Cdk4/Nxf2/Slc25a5/Tbk1/Rsad2/Nfkbia/Eif2s1/Traf3/Ciita/Ifngr2/Ifnar2/Mx2/Eif2ak2/Tpsab1/H2-Oa/Tnf/Jak2/Irf7/Il6/Casp1/Casp8/Stat1/Ifih1/Il1b/Rae1/Adar/Actb/Oas1b/Cpsf4/Nfkbib/Pycard/Ikbkb/Casp3/Tyk2/Myd88/Oas3/Oas2/Nlrp3/Ccnd3/Cxcl10/Map2k2/Ccl5/Ccl12/Ccl2/H2-Ea/H2-Aa/Pml/Nxt1/H2-DMb2/H2-DMa/Pik3cd/Stat2/Rigi/H2-Ob/Ikbke/Tlr7/Ticam1/Prkcb/Socs3/Ifng/Bak1/Irak4/H2-Eb1/Cycs/H2-Eb2/H2-Ab1/H2-DMb1/Raf1/Map2k1/Dnajb1/Apaf1/Nfkb1/Icam1/Tlr4/Ifnb1,82,yes,Severe
Environmental Information Processing,Signal transduction,mmu04064,NF-kappa B signaling pathway - Mus musculus (house mouse),59/1643,107/9577,0.551401869,3.214105722,10.48045182,3.74E-19,2.14E-17,1.49E-17,Trim25/Lck/Relb/Tnfsf14/Ube2i/Cd40/Ccl4/Tnfaip3/Map3k14/Nfkbia/Traf3/Ripk1/Syk/Plau/Tnfsf11/Ltb/Tnf/Lta/Nfkb2/Pidd1/Ly96/Zap70/Tnfrsf11a/Prkcq/Traf1/Traf2/Il1b/Vcam1/Bcl10/Cxcl3/Cxcl1/Lat/Cd40lg/Btk/Ikbkb/Birc3/Myd88/Malt1/Plcg2/Card11/Cyld/Rigi/Lyn/Csnk2a2/Ticam1/Prkcb/Bcl2a1c/Ticam2/Birc2/Cxcl2/Irak4/Blnk/Tnfrsf13c/Bcl2a1b/Bcl2a1d/Bcl2a1a/Nfkb1/Icam1/Tlr4,59,yes,Severe
Organismal Systems,Immune system,mmu04612,Antigen processing and presentation - Mus musculus (house mouse),52/1643,87/9577,0.597701149,3.483982902,10.59107088,3.77E-19,2.14E-17,1.49E-17,Calr/H2-M3/Lgmn/Ctsb/Psme1/Ciita/Cd4/Tapbp/H2-Oa/Tap2/Tnf/Cd74/Hspa5/Pdia3/Klrd1/Klrc1/Ifi30/H2-Q4/H2-Ea/H2-Aa/Tap1/H2-DMb2/H2-DMa/Ctss/H2-Ob/Cd8b1/H2-T24/Cd8a/Ifng/H2-T22/H2-Q7/H2-Eb1/B2m/H2-K1/H2-T23/H2-Q10/H2-Eb2/H2-Bl/H2-Q6/H2-D1/H2-Ab1/Psme3/Psme2/H2-T10/H2-Q1/H2-DMb1/H2-Q2/Hspa1a/Hspa8/Hsp90aa1/Hsp90ab1/Nfya,52,yes,Severe
Organismal Systems,Immune system,mmu04659,Th17 cell differentiation - Mus musculus (house mouse),57/1643,105/9577,0.542857143,3.164298757,10.14742306,4.06E-18,1.97E-16,1.37E-16,Lck/Il12rb1/Tbx21/Cd3g/Tgfb1/Ebi3/Stat3/Stat5a/Il27ra/Cd247/Nfkbia/Hif1a/Irf4/Ppp3cc/Ifngr2/Cd4/Nfkbie/H2-Oa/Jak2/Il6/Il17a/Stat1/Zap70/Il2ra/Prkcq/Il1b/Nfatc2/Il21/Nfkbib/Lat/Il21r/Il4ra/Il2rg/Ikbkb/Jak3/Cd3e/Cd3d/Tyk2/Nfatc1/H2-Ea/H2-Aa/H2-DMb2/H2-DMa/Foxp3/H2-Ob/Il17f/Il27/Ifng/H2-Eb1/H2-Eb2/Il2rb/H2-Ab1/H2-DMb1/Stat6/Hsp90aa1/Hsp90ab1/Nfkb1,57,yes,Severe
Organismal Systems,Development and regeneration,mmu04380,Osteoclast differentiation - Mus musculus (house mouse),66/1643,136/9577,0.485294118,2.828765529,9.774245314,2.04E-17,8.69E-16,6.05E-16,Lck/Acp5/Spi1/Irf9/Tgfb1/Lcp2/Relb/Cyba/Csf1/Fcgr1/Ncf1/Fyn/Map3k14/Nfkbia/Syk/Tnfsf11/Ppp3cc/Ifngr2/Ifnar2/Tnf/Csf1r/Fosl1/Nfkb2/Stat1/Tnfrsf11a/Ncf2/Fcgr2b/Traf2/Il1b/Nfatc2/Tec/Lilra6/Tyrobp/Btk/Ikbkb/Tyk2/Nfatc1/Plcg2/Cyld/Sirpa/Socs1/Camk4/Pik3cd/Stat2/Socs3/Ifng/Pirb/Fcgr4/Fcgr3/Grb2/Blnk/Ncf4/Pira12/Pira13/Sirpb1c/Pira1/Pira2/Sirpb1b/Sirpb1a/Lilrb4b/Lilrb4a/Fosb/Map2k1/Itgb3/Nfkb1/Ifnb1,66,yes,Severe
Human Diseases,Infectious disease: parasitic,mmu05140,Leishmaniasis - Mus musculus (house mouse),43/1643,70/9577,0.614285714,3.580653856,9.861018687,1.10E-16,4.14E-15,2.88E-15,Itgb2/Tgfb1/Ptpn6/Il12b/Cyba/Cybb/Fcgr1/Ncf1/Il10/Nfkbia/Ifngr2/C3/H2-Oa/Tnf/Jak2/Stat1/Ncf2/Itga4/Il1b/Tlr2/Nfkbib/Itgam/Myd88/H2-Ea/H2-Aa/H2-DMb2/H2-DMa/Eef1a1/H2-Ob/Marcksl1/Prkcb/Ifng/Fcgr4/Fcgr3/Irak4/H2-Eb1/H2-Eb2/Ncf4/H2-Ab1/H2-DMb1/Nos2/Nfkb1/Tlr4,43,yes,Severe
Human Diseases,Infectious disease: viral,mmu05162,Measles - Mus musculus (house mouse),67/1643,145/9577,0.462068966,2.693386782,9.34981511,2.82E-16,9.59E-15,6.68E-15,Mx1/Fasl/Cd3g/Ccne1/Irf9/Bax/Stat3/Stat5a/Il12b/Bid/Cdk4/Slamf1/Tnfaip3/Tbk1/Rack1/Nfkbia/Eif2s1/Traf3/Eif3h/Cblb/Ifnar2/Mx2/Eif2ak2/Cdk2/Irf7/Il6/Cd28/Casp8/Stat1/Fcgr2b/Il2ra/Ifih1/Il1b/Adar/Tlr2/Ccne2/Oas1b/Nfkbib/Il2rg/Ikbkb/Casp3/Jak3/Cd3e/Cd3d/Tyk2/Myd88/Oas3/Oas2/Ccnd3/Pik3cd/Stat2/Rigi/Ikbke/Tlr7/Tlr9/Csnk2a2/Bak1/Irak4/Cycs/Il2rb/Hspa1a/Hspa8/Apaf1/Nfkb1/Tlr4/Ifnb1/Trp53,67,yes,Severe
