Gene.id,Gene.name,Gene.description,FC,Pvalue,Padjust,Regulate
ENSMUSG00000029417,Cxcl9,chemokine (C-X-C motif) ligand 9 [Source:MGI Symbol;Acc:MGI:1352449],233.8578822,5.05E-12,9.03E-08,up
ENSMUSG00000023078,Cxcl13,chemokine (C-X-C motif) ligand 13 [Source:MGI Symbol;Acc:MGI:1888499],20.50623873,1.63E-11,1.39E-07,up
ENSMUSG00000027514,Zbp1,Z-DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1927449],22.0341096,3.10E-11,1.39E-07,up
ENSMUSG00000034855,Cxcl10,chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450],111.829835,2.93E-11,1.39E-07,up
ENSMUSG00000078922,Tgtp1,T cell specific GTPase 1 [Source:MGI Symbol;Acc:MGI:98734],16.71680838,6.99E-11,2.50E-07,up
ENSMUSG00000079362,Gm43302,predicted gene 43302 [Source:MGI Symbol;Acc:MGI:5663439],16.38231555,1.78E-10,4.55E-07,up
ENSMUSG00000104713,Gbp6,guanylate binding protein 6 [Source:MGI Symbol;Acc:MGI:2140937],13.57689906,1.66E-10,4.55E-07,up
ENSMUSG00000060183,Cxcl11,chemokine (C-X-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:1860203],899.2873516,2.46E-10,4.89E-07,up
ENSMUSG00000078853,Igtp,interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729],11.7988889,2.19E-10,4.89E-07,up
ENSMUSG00000097194,9330175E14Rik,RIKEN cDNA 9330175E14 gene [Source:MGI Symbol;Acc:MGI:2443913],11.36225187,3.49E-10,6.24E-07,up
ENSMUSG00000035186,Ubd,ubiquitin D [Source:MGI Symbol;Acc:MGI:1344410],215.1497917,3.90E-10,6.34E-07,up
ENSMUSG00000025498,Irf7,interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212],17.10115903,2.06E-09,2.74E-06,up
ENSMUSG00000035692,Isg15,ISG15 ubiquitin-like modifier [Source:MGI Symbol;Acc:MGI:1855694],17.54537686,1.84E-09,2.74E-06,up
ENSMUSG00000078921,Tgtp2,T cell specific GTPase 2 [Source:MGI Symbol;Acc:MGI:3710083],7.525855332,2.15E-09,2.74E-06,up
ENSMUSG00000082292,Gm12250,predicted gene 12250 [Source:MGI Symbol;Acc:MGI:3649299],11.45564559,2.44E-09,2.91E-06,up
ENSMUSG00000105504,Gbp5,guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943],14.96662697,3.71E-09,4.14E-06,up
ENSMUSG00000105096,Gbp10,guanylate-binding protein 10 [Source:MGI Symbol;Acc:MGI:4359647],29.35957621,4.56E-09,4.79E-06,up
ENSMUSG00000048852,Gm12185,predicted gene 12185 [Source:MGI Symbol;Acc:MGI:3652173],8.866232475,8.60E-09,8.55E-06,up
ENSMUSG00000032661,Oas3,2'-5' oligoadenylate synthetase 3 [Source:MGI Symbol;Acc:MGI:2180850],15.99831741,9.48E-09,8.92E-06,up
ENSMUSG00000054072,Iigp1,interferon inducible GTPase 1 [Source:MGI Symbol;Acc:MGI:1926259],12.20693698,1.00E-08,8.98E-06,up
ENSMUSG00000068606,Gm4841,predicted gene 4841 [Source:MGI Symbol;Acc:MGI:3643814],33.05154285,1.29E-08,1.10E-05,up
ENSMUSG00000041827,Oasl1,2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol;Acc:MGI:2180849],13.82516767,1.58E-08,1.28E-05,up
ENSMUSG00000074151,Nlrc5,"NLR family, CARD domain containing 5 [Source:MGI Symbol;Acc:MGI:3612191]",6.049302746,1.65E-08,1.28E-05,up
ENSMUSG00000046879,Irgm1,immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567],7.786044402,1.76E-08,1.31E-05,up
ENSMUSG00000079017,Ifi27l2a,"interferon, alpha-inducible protein 27 like 2A [Source:MGI Symbol;Acc:MGI:1924183]",5.824750081,2.27E-08,1.63E-05,up
ENSMUSG00000063388,BC023105,cDNA sequence BC023105 [Source:MGI Symbol;Acc:MGI:2384767],18.80323029,2.41E-08,1.66E-05,up
ENSMUSG00000022126,Acod1,aconitate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:103206],92.358053,2.74E-08,1.75E-05,up
ENSMUSG00000034438,Gbp8,guanylate-binding protein 8 [Source:MGI Symbol;Acc:MGI:1923324],8.824221475,2.66E-08,1.75E-05,up
ENSMUSG00000009185,Ccl8,chemokine (C-C motif) ligand 8 [Source:MGI Symbol;Acc:MGI:101878],82.92285217,4.55E-08,2.71E-05,up
ENSMUSG00000026104,Stat1,signal transducer and activator of transcription 1 [Source:MGI Symbol;Acc:MGI:103063],5.46544968,5.16E-08,2.88E-05,up
