Metab.ID,Severe1,Severe2,Severe3,Severe4,Severe5,Severe6,Middle1,Middle2,Middle3,Middle4,Middle5,Middle6,Mild1,Mild2,Mild3,Mild4,Mild5,Mild6
metab_4,5.525,5.721,5.688,5.508,5.509,5.546,4.977,5.759,5.598,5.642,5.417,4.847,5.164,5.103,5.477,5.521,5.686,5.246
metab_11,5.944,6.206,5.956,5.288,5.371,5.557,4.932,5.329,5.702,6.134,5.743,4.427,4.258,4.257,5.299,5.507,5.261,4.384
metab_12,6.685,6.701,6.68,6.697,6.594,6.638,6.647,6.637,6.64,6.636,6.677,6.664,6.68,6.636,6.709,6.697,6.731,6.739
metab_19,5.744,5.929,5.857,5.816,5.948,5.807,5.829,5.787,5.895,5.889,5.707,5.824,6.02,5.769,6.016,5.966,6.028,5.76
metab_21,6.325,6.344,6.339,6.324,6.257,6.287,6.292,6.289,6.285,6.293,6.298,6.339,6.319,6.288,6.345,6.325,6.389,6.388
metab_26,5.907,5.956,5.911,5.95,5.861,5.905,5.888,5.867,5.911,5.912,5.896,5.919,5.954,5.873,5.953,5.912,6.012,6.026
metab_31,3.874,4.36,3.419,3.036,3.084,3.447,3.76,5.05,5.246,4.458,3.928,4.024,4.857,3.028,4.775,4.783,4.362,4.262
metab_36,6.272,6.448,6.413,5.801,6.072,6.047,5.608,6.52,6.504,6.364,6.038,5.082,5.993,5.638,6.387,6.165,6.703,5.993
metab_37,6.296,6.284,6.573,6.565,6.108,6.365,6.508,6.349,6.307,6.453,5.911,6.432,6.313,6.312,6.146,6.066,6.504,6.555
metab_54,4.743,4.854,4.808,4.812,4.65,4.813,4.791,4.956,4.873,4.723,4.619,4.659,4.799,4.784,4.755,4.807,4.8,4.848
metab_73,5.521,5.577,5.517,5.519,5.486,5.401,5.411,5.482,5.476,5.47,5.486,5.507,5.478,5.402,5.539,5.561,5.703,5.486
metab_84,6.12,6.23,6.27,6.236,6.304,6.147,6.214,6.186,6.185,6.242,6.078,6.206,6.321,6.123,6.317,6.144,6.429,6.074
metab_88,6.571,6.463,6.266,5.335,5.224,5.852,4.49,5.703,5.798,6.58,6.207,4.52,4.9,4.905,5.621,5.459,5.729,5.035
metab_89,6.293,6.494,6.492,6.534,6.436,6.303,6.402,6.146,6.375,6.54,6.292,6.402,6.587,6.232,6.653,6.376,6.777,6.393
metab_92,4.964,4.962,5.039,4.644,4.799,4.922,4.752,4.459,4.925,5.296,4.632,4.088,4.882,4.572,5.227,4.66,4.859,4.746
metab_93,5.451,5.448,5.523,5.514,5.589,5.513,5.551,5.54,5.574,5.497,5.424,5.486,5.569,5.487,5.536,5.576,5.553,5.444
metab_96,6.118,6.159,6.202,6.229,6.282,6.219,6.249,6.181,6.21,6.196,6.13,6.172,6.254,6.202,6.26,6.223,6.211,6.105
metab_101,3.568,2.899,3.535,1.47,3.06,3.72,3.328,3.694,3.943,1.489,3.896,2.882,3.53,3.626,3.572,5.442,3.699,3.16
metab_110,6.36,6.16,6.213,5.752,5.909,6.107,5.895,5.661,5.944,6.519,6.197,5.047,5.453,5.649,5.852,5.81,5.361,5.362
metab_121,5.644,5.515,5.53,5.808,5.394,5.317,5.781,5.398,5.587,5.678,5.59,5.695,5.762,5.619,5.793,5.564,5.746,5.75
metab_123,6.834,7.146,7.14,7.131,7.11,6.983,7.094,6.859,7.239,6.986,7.179,7.119,6.932,6.814,6.979,7.108,7.022,7.113
metab_130,5.64,5.478,5.366,3.757,3.697,4.438,3.745,3.749,4.477,5.806,5.09,3.775,3.743,3.749,3.938,3.804,3.779,3.747
metab_155,5.856,5.699,5.899,5.617,5.631,5.551,5.592,5.734,5.851,5.974,5.716,5.658,5.567,5.586,5.733,5.849,5.612,5.735
metab_158,5.917,5.94,5.959,5.955,5.882,5.922,5.923,5.891,5.92,5.987,5.914,5.934,5.969,5.908,5.993,5.946,6.003,5.95
metab_163,7.808,7.834,7.82,7.83,7.768,7.802,7.819,7.796,7.825,7.83,7.814,7.817,7.811,7.8,7.849,7.836,7.833,7.811
metab_182,5.035,5.041,5.354,5.877,4.768,4.829,4.822,4.706,4.929,5.195,4.922,5.343,4.884,4.636,5.002,4.944,5.113,5.495
metab_183,5.834,5.867,5.842,5.78,5.744,5.853,5.79,5.76,5.85,5.843,5.831,5.856,5.813,5.822,5.883,5.843,5.903,5.861
metab_185,6.716,6.459,6.422,6.489,6.762,6.852,6.575,6.896,6.722,6.464,6.813,6.686,6.306,6.953,6.407,6.501,6.291,6.885
metab_191,5.77,5.775,5.755,5.781,5.695,5.762,5.767,5.776,5.823,5.812,5.749,5.772,5.799,5.785,5.814,5.793,5.786,5.728
metab_195,5.076,5.653,5.911,5.802,5.817,5.617,5.982,5.328,5.868,5.552,5.755,6.019,5.321,5.226,5.522,5.872,5.638,5.871
metab_196,4.895,4.868,4.897,4.848,4.771,4.849,4.842,4.832,4.891,4.861,4.867,4.873,4.869,4.86,4.907,4.847,4.91,4.887
metab_199,5.268,5.209,5.004,5.202,5.004,5.105,5.209,5.226,5.193,5.42,5.08,5.313,5.461,5.3,5.518,5.108,5.215,5.125
metab_203,4.859,4.935,5.033,4.408,4.85,4.955,4.463,4.977,4.88,4.992,4.649,4.328,4.898,4.605,4.869,4.742,4.996,4.621
metab_210,6.39,6.395,6.416,6.386,6.308,6.35,6.377,6.389,6.363,6.445,6.361,6.354,6.49,6.382,6.448,6.315,6.532,6.454
metab_218,6.28,6.222,6.006,5.437,5.466,5.829,5.229,5.879,5.718,6.291,5.959,5.089,5.145,5.301,5.572,5.432,5.621,5.147
metab_221,5.608,5.576,5.398,4.612,4.711,5.138,4.201,5.219,5.068,5.631,5.299,3.487,4.261,4.446,4.69,4.662,4.835,4.03
metab_223,7.53,7.708,7.781,7.71,7.726,7.594,7.752,7.571,7.61,7.485,7.812,7.853,7.658,7.53,7.687,7.831,7.708,7.748
metab_241,5.698,5.728,5.758,5.109,5.458,5.488,4.881,5.923,5.932,5.786,5.484,4.072,5.193,5.115,5.557,5.59,5.892,5.347
metab_249,5.377,5.438,5.489,5.499,5.691,5.591,5.59,5.566,5.558,5.502,5.4,5.458,5.567,5.532,5.519,5.522,5.465,5.391
metab_256,6.1,6.121,6.092,6.083,6.04,6.064,6.059,6.058,6.046,6.103,6.093,6.074,6.061,6.039,6.097,6.071,6.116,6.087
metab_301,5.713,5.755,5.772,5.747,5.673,5.696,5.745,5.731,5.731,5.776,5.824,5.77,5.687,5.7,5.792,5.724,5.686,5.761
metab_350,4.149,4.149,4.044,4.13,4.018,4.152,4.124,4.07,4.111,4.134,4.075,4.096,4.157,3.999,4.124,4.16,4.114,4.2
metab_362,5.151,5.234,5.291,5.275,5.509,5.39,5.396,5.339,5.325,5.253,5.184,5.214,5.33,5.338,5.322,5.282,5.271,5.171
metab_365,6.326,6.518,6.378,6.448,6.536,6.328,6.409,6.367,6.469,6.46,6.282,6.4,6.468,6.314,6.453,6.393,6.568,6.278
