gene1,Severe1,Severe2,Severe3,Severe4,Severe5,Severe6,Middle1,Middle2,Middle3,Middle4,Middle5,Middle6,Mild1,Mild2,Mild3,Mild4,Mild5,Mild6
Gnai3,76.36,79.68,62.41,69.05,57.18,53.02,54.73,50.85,70.92,61.35,68.29,57.64,61.07,59.1,54.92,50.13,39.79,66.69
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,8.35,8.36,1.15,10.42,1.64,1.45,1.72,1.59,1.38,1.49,1.47,1.4,4.19,1.18,1.78,1.61,1.95,2.36
H19,0.78,1.95,6.77,3.29,1.97,2.26,3.92,5.06,5.48,4.6,5.01,3.25,2.04,5.97,12.39,0.94,748.69,4.41
Scml2,0.51,0.85,0.26,0.41,0.6,0.26,0.95,0.32,0.16,0.18,0.56,0.46,0.42,0.97,1.74,1.12,0.77,1.29
Apoh,0.08,0.5,0.07,0,0.51,0,0.3,0.2,0.26,1.11,0.51,0.45,0.9,0.22,0.42,0.3,0.55,0.13
Narf,5.92,8.44,6.59,11.55,6.71,5.43,6.5,5.29,6.73,5.8,7.85,6.61,6.2,6.38,5.83,5.7,8.44,8.2
Cav2,96.42,89.83,322.06,167.62,286.64,244.09,232.95,236.29,319.36,315.37,295.98,330.12,196.15,309.89,295.63,261.76,109.63,307
Klf6,142.5,118.44,87.78,69.59,113.78,73.3,89.83,71.87,96.11,88.65,93.14,106.08,81.28,93.66,90.24,79.73,56.66,110.69
Scmh1,21.65,20.98,29.23,16.66,25.38,22.67,30.78,22.08,22.28,18.92,24.16,21.42,22.85,26.27,28.49,21.38,21.43,28.61
Cox5a,195.57,186.48,136.02,133.96,100.53,117.36,93.94,115.53,117.66,83.69,76.93,96.73,152.32,85.01,133.24,102.5,234.11,97.27
Tbx2,37.78,26.55,71.29,47.03,72.39,72.22,74.14,76.77,68.28,60.11,73.47,82.49,66.73,91.06,71.76,81.22,34.36,91.45
Tbx4,26.19,21.42,43.08,26.85,53.03,40.96,45.94,38.42,42.57,42.42,46.66,41.81,37.98,48.6,38.84,38.48,17.65,45.92
Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngfr,0.49,0.93,0.42,1.5,0.1,0.23,0.16,0.34,0.13,0.14,0.31,0.22,0.62,0.29,0.29,0.08,2.5,0.36
Wnt3,0.05,0.12,0.11,0.12,0,0.11,0.02,0.06,0.02,0.07,0.02,0.08,0.11,0,0.02,0.09,0.11,0.14
