"Xanthosine","Nt5c2","score","Bacillus_cereus"
5.824,15.83,0.652212468,29363
6.116,18.8,0.455524872,39547
6.032,14.54,0.587710074,27445
3.088,15.1,0.343870362,29430
4.563,16.39,0.617525208,25915
5.285,16.19,0.468545045,38231
3.799,16.88,0.32572039,8153
5.057,14.91,0.151202718,25
4.882,15.26,0.169667915,12722
6.074,14.59,0.081781953,369
5.141,18.44,0.108191038,30
2.802,15.45,0.155241935,12945
2.743,18.59,0.027210794,0
3.64,14.62,0.228074532,0
5.013,13.03,0.125,0
4.878,14.3,-0.025960462,6
3.196,14.49,-0.019155056,0
2.801,16.44,-0.076889241,7
