"Xanthosine","Nt5dc2","score","Bacillus_cereus"
5.824,33.54,0.652212468,29363
6.116,26.72,0.455524872,39547
6.032,42.25,0.587710074,27445
3.088,28.45,0.343870362,29430
4.563,62.62,0.617525208,25915
5.285,45.18,0.468545045,38231
3.799,48.51,0.32572039,8153
5.057,32.92,0.151202718,25
4.882,40,0.169667915,12722
6.074,35.08,0.081781953,369
5.141,37.2,0.108191038,30
2.802,58.85,0.155241935,12945
2.743,34.83,0.027210794,0
3.64,56.22,0.228074532,0
5.013,30.32,0.125,0
4.878,31.03,-0.025960462,6
3.196,25.29,-0.019155056,0
2.801,60.87,-0.076889241,7
