"Homo.L.arginine","Nos3","score","Delftia_tsuruhatensis"
4.436,2.15,0.652212468,20
4.444,2.91,0.455524872,4
4.026,4.87,0.587710074,25
3.367,3.64,0.343870362,37
3.706,4.65,0.617525208,55
3.318,5.71,0.468545045,12
3.813,3.71,0.32572039,137
4.98,3.38,0.151202718,53
5.185,5.31,0.169667915,83
4.905,4.46,0.081781953,16
4.3,6.22,0.108191038,123
4.387,6.19,0.155241935,81
4.684,4.24,0.027210794,104
3.559,4.08,0.228074532,164
4.827,4.41,0.125,87
4.818,2.28,-0.025960462,88
4.708,3.99,-0.019155056,32
4.539,6.74,-0.076889241,61
