"Homo.L.arginine","Itgb5","score","Delftia_tsuruhatensis"
4.436,66.4,0.652212468,20
4.444,67.5,0.455524872,4
4.026,65.3,0.587710074,25
3.367,47.22,0.343870362,37
3.706,87.12,0.617525208,55
3.318,64.84,0.468545045,12
3.813,75.65,0.32572039,137
4.98,62.76,0.151202718,53
5.185,91.46,0.169667915,83
4.905,63.49,0.081781953,16
4.3,77.76,0.108191038,123
4.387,74.41,0.155241935,81
4.684,60.94,0.027210794,104
3.559,72.76,0.228074532,164
4.827,70.35,0.125,87
4.818,67.6,-0.025960462,88
4.708,43.79,-0.019155056,32
4.539,73.78,-0.076889241,61
