"N1.Acetylspermidine","Paox","score","Klebsiella_oxytoca"
4.49,12.17,0.652212468,545
4.549,8.9,0.455524872,14
4.465,5.68,0.587710074,573
4.227,8.7,0.343870362,462
4.189,8.02,0.617525208,651
4.347,8,0.468545045,30
4.271,7.8,0.32572039,1660
4.833,4.33,0.151202718,1491
4.833,7.49,0.169667915,1440
4.832,4.89,0.081781953,3088
4.306,7.38,0.108191038,1545
4.11,7.14,0.155241935,865
4.529,9.26,0.027210794,1206
4.569,6.28,0.228074532,2212
4.581,7.12,0.125,1654
4.638,10.36,-0.025960462,2746
4.649,11.33,-0.019155056,1125
4.332,6.43,-0.076889241,2391
