"N1.Acetylspermidine","Sat1","score","Klebsiella_oxytoca"
4.49,421.67,0.652212468,545
4.549,497.79,0.455524872,14
4.465,238.1,0.587710074,573
4.227,231.13,0.343870362,462
4.189,284.11,0.617525208,651
4.347,258.44,0.468545045,30
4.271,240.06,0.32572039,1660
4.833,253.3,0.151202718,1491
4.833,407.16,0.169667915,1440
4.832,230.93,0.081781953,3088
4.306,246,0.108191038,1545
4.11,220.99,0.155241935,865
4.529,299.34,0.027210794,1206
4.569,284.6,0.228074532,2212
4.581,269.98,0.125,1654
4.638,380.82,-0.025960462,2746
4.649,191.78,-0.019155056,1125
4.332,226.79,-0.076889241,2391
