"N1.Acetylspermidine","Paox","score","Achromobacter_marplatensis"
4.49,12.17,0.652212468,358
4.549,8.9,0.455524872,33
4.465,5.68,0.587710074,153
4.227,8.7,0.343870362,240
4.189,8.02,0.617525208,194
4.347,8,0.468545045,39
4.271,7.8,0.32572039,418
4.833,4.33,0.151202718,2743
4.833,7.49,0.169667915,844
4.832,4.89,0.081781953,1199
4.306,7.38,0.108191038,468
4.11,7.14,0.155241935,191
4.529,9.26,0.027210794,505
4.569,6.28,0.228074532,862
4.581,7.12,0.125,1363
4.638,10.36,-0.025960462,1803
4.649,11.33,-0.019155056,337
4.332,6.43,-0.076889241,1102
