"N1.Acetylspermidine","Paox","score","Delftia_tsuruhatensis"
4.49,12.17,0.652212468,20
4.549,8.9,0.455524872,4
4.465,5.68,0.587710074,25
4.227,8.7,0.343870362,37
4.189,8.02,0.617525208,55
4.347,8,0.468545045,12
4.271,7.8,0.32572039,137
4.833,4.33,0.151202718,53
4.833,7.49,0.169667915,83
4.832,4.89,0.081781953,16
4.306,7.38,0.108191038,123
4.11,7.14,0.155241935,81
4.529,9.26,0.027210794,104
4.569,6.28,0.228074532,164
4.581,7.12,0.125,87
4.638,10.36,-0.025960462,88
4.649,11.33,-0.019155056,32
4.332,6.43,-0.076889241,61
