"N1.Acetylspermidine","Sat1","score","Delftia_tsuruhatensis"
4.49,421.67,0.652212468,20
4.549,497.79,0.455524872,4
4.465,238.1,0.587710074,25
4.227,231.13,0.343870362,37
4.189,284.11,0.617525208,55
4.347,258.44,0.468545045,12
4.271,240.06,0.32572039,137
4.833,253.3,0.151202718,53
4.833,407.16,0.169667915,83
4.832,230.93,0.081781953,16
4.306,246,0.108191038,123
4.11,220.99,0.155241935,81
4.529,299.34,0.027210794,104
4.569,284.6,0.228074532,164
4.581,269.98,0.125,87
4.638,380.82,-0.025960462,88
4.649,191.78,-0.019155056,32
4.332,226.79,-0.076889241,61
