"Homo.L.arginine","Nos3","score","Comamonas_aquatica"
4.436,2.15,0.652212468,235
4.444,2.91,0.455524872,9
4.026,4.87,0.587710074,148
3.367,3.64,0.343870362,224
3.706,4.65,0.617525208,464
3.318,5.71,0.468545045,91
3.813,3.71,0.32572039,1493
4.98,3.38,0.151202718,683
5.185,5.31,0.169667915,217
4.905,4.46,0.081781953,323
4.3,6.22,0.108191038,1509
4.387,6.19,0.155241935,1071
4.684,4.24,0.027210794,937
3.559,4.08,0.228074532,1190
4.827,4.41,0.125,903
4.818,2.28,-0.025960462,458
4.708,3.99,-0.019155056,147
4.539,6.74,-0.076889241,338
