"Homo.L.arginine","Itgb5","score","Comamonas_aquatica"
4.436,66.4,0.652212468,235
4.444,67.5,0.455524872,9
4.026,65.3,0.587710074,148
3.367,47.22,0.343870362,224
3.706,87.12,0.617525208,464
3.318,64.84,0.468545045,91
3.813,75.65,0.32572039,1493
4.98,62.76,0.151202718,683
5.185,91.46,0.169667915,217
4.905,63.49,0.081781953,323
4.3,77.76,0.108191038,1509
4.387,74.41,0.155241935,1071
4.684,60.94,0.027210794,937
3.559,72.76,0.228074532,1190
4.827,70.35,0.125,903
4.818,67.6,-0.025960462,458
4.708,43.79,-0.019155056,147
4.539,73.78,-0.076889241,338
