"Homo.L.arginine","Mtrr","score","Achromobacter_spanius"
4.436,4.93,0.652212468,358
4.444,4.9,0.455524872,33
4.026,6.64,0.587710074,153
3.367,7.98,0.343870362,240
3.706,6.34,0.617525208,194
3.318,3.81,0.468545045,39
3.813,4.97,0.32572039,418
4.98,4.65,0.151202718,2743
5.185,4.65,0.169667915,844
4.905,5.31,0.081781953,1199
4.3,5.15,0.108191038,468
4.387,4.73,0.155241935,191
4.684,6,0.027210794,505
3.559,4.53,0.228074532,862
4.827,5.35,0.125,1363
4.818,3.73,-0.025960462,1803
4.708,4.04,-0.019155056,337
4.539,4.84,-0.076889241,1102
