"Xanthosine","Nt5c2","score","Fibrella_aestuarina"
5.824,15.83,0.652212468,0
6.116,18.8,0.455524872,0
6.032,14.54,0.587710074,3
3.088,15.1,0.343870362,2
4.563,16.39,0.617525208,3
5.285,16.19,0.468545045,0
3.799,16.88,0.32572039,6
5.057,14.91,0.151202718,14
4.882,15.26,0.169667915,3
6.074,14.59,0.081781953,0
5.141,18.44,0.108191038,0
2.802,15.45,0.155241935,0
2.743,18.59,0.027210794,9
3.64,14.62,0.228074532,12
5.013,13.03,0.125,3
4.878,14.3,-0.025960462,6
3.196,14.49,-0.019155056,0
2.801,16.44,-0.076889241,6
