"Homo.L.arginine","Tyw1","score","Achromobacter_spanius"
4.436,8.48,0.652212468,358
4.444,9.94,0.455524872,33
4.026,8.76,0.587710074,153
3.367,11.62,0.343870362,240
3.706,8.64,0.617525208,194
3.318,6.87,0.468545045,39
3.813,8.11,0.32572039,418
4.98,7.27,0.151202718,2743
5.185,8.54,0.169667915,844
4.905,7.49,0.081781953,1199
4.3,8.78,0.108191038,468
4.387,7.02,0.155241935,191
4.684,7.13,0.027210794,505
3.559,7.03,0.228074532,862
4.827,7.59,0.125,1363
4.818,6.47,-0.025960462,1803
4.708,6.42,-0.019155056,337
4.539,8.56,-0.076889241,1102
