"Homo.L.arginine","Itgb3","score","Achromobacter_spanius"
4.436,6.95,0.652212468,358
4.444,6.18,0.455524872,33
4.026,4.38,0.587710074,153
3.367,7.65,0.343870362,240
3.706,4.7,0.617525208,194
3.318,3.63,0.468545045,39
3.813,5.07,0.32572039,418
4.98,4.95,0.151202718,2743
5.185,2.95,0.169667915,844
4.905,3.84,0.081781953,1199
4.3,5.31,0.108191038,468
4.387,3.87,0.155241935,191
4.684,5.4,0.027210794,505
3.559,2.91,0.228074532,862
4.827,4.39,0.125,1363
4.818,3.13,-0.025960462,1803
4.708,3.2,-0.019155056,337
4.539,4.55,-0.076889241,1102
