"Xanthosine","Nt5dc2","score","Fibrella_aestuarina"
5.824,33.54,0.652212468,0
6.116,26.72,0.455524872,0
6.032,42.25,0.587710074,3
3.088,28.45,0.343870362,2
4.563,62.62,0.617525208,3
5.285,45.18,0.468545045,0
3.799,48.51,0.32572039,6
5.057,32.92,0.151202718,14
4.882,40,0.169667915,3
6.074,35.08,0.081781953,0
5.141,37.2,0.108191038,0
2.802,58.85,0.155241935,0
2.743,34.83,0.027210794,9
3.64,56.22,0.228074532,12
5.013,30.32,0.125,3
4.878,31.03,-0.025960462,6
3.196,25.29,-0.019155056,0
2.801,60.87,-0.076889241,6
