"Homo.L.arginine","Itga2b","score","Acidovorax_wautersii"
4.436,7.1,0.652212468,5
4.444,2.53,0.455524872,0
4.026,3.58,0.587710074,9
3.367,5.24,0.343870362,5
3.706,6.81,0.617525208,6
3.318,3.34,0.468545045,0
3.813,7.02,0.32572039,23
4.98,4.87,0.151202718,36
5.185,2.67,0.169667915,27
4.905,3.1,0.081781953,33
4.3,3.52,0.108191038,24
4.387,3.76,0.155241935,21
4.684,5.6,0.027210794,36
3.559,2.78,0.228074532,32
4.827,3.39,0.125,24
4.818,4.03,-0.025960462,30
4.708,2.01,-0.019155056,15
4.539,3.2,-0.076889241,13
