"Xanthosine","Nt5e","score","Fibrella_aestuarina"
5.824,36.58,0.652212468,0
6.116,40.34,0.455524872,0
6.032,17.65,0.587710074,3
3.088,12.97,0.343870362,2
4.563,22.43,0.617525208,3
5.285,15.48,0.468545045,0
3.799,28.16,0.32572039,6
5.057,21.89,0.151202718,14
4.882,18.69,0.169667915,3
6.074,22.08,0.081781953,0
5.141,17.81,0.108191038,0
2.802,37.74,0.155241935,0
2.743,19.84,0.027210794,9
3.64,23.61,0.228074532,12
5.013,18.39,0.125,3
4.878,21,-0.025960462,6
3.196,16.9,-0.019155056,0
2.801,39.66,-0.076889241,6
