"Homo.L.arginine","Itgb5","score","Acinetobacter_calcoaceticus"
4.436,66.4,0.652212468,119
4.444,67.5,0.455524872,11
4.026,65.3,0.587710074,148
3.367,47.22,0.343870362,79
3.706,87.12,0.617525208,137
3.318,64.84,0.468545045,21
3.813,75.65,0.32572039,265
4.98,62.76,0.151202718,425
5.185,91.46,0.169667915,106
4.905,63.49,0.081781953,733
4.3,77.76,0.108191038,579
4.387,74.41,0.155241935,3505
4.684,60.94,0.027210794,255
3.559,72.76,0.228074532,214
4.827,70.35,0.125,60
4.818,67.6,-0.025960462,81
4.708,43.79,-0.019155056,1444
4.539,73.78,-0.076889241,193
