"Homo.L.arginine","Ndor1","score","Comamonas_testosteroni"
4.436,0,0.652212468,235
4.444,0,0.455524872,9
4.026,0,0.587710074,148
3.367,0.05,0.343870362,224
3.706,0,0.617525208,464
3.318,0,0.468545045,91
3.813,0,0.32572039,1493
4.98,0.19,0.151202718,683
5.185,0,0.169667915,217
4.905,0,0.081781953,323
4.3,0,0.108191038,1509
4.387,0,0.155241935,1071
4.684,0,0.027210794,937
3.559,0.25,0.228074532,1190
4.827,0.17,0.125,903
4.818,0.08,-0.025960462,458
4.708,0,-0.019155056,147
4.539,0,-0.076889241,338
