"Homo.L.arginine","Itgb3","score","Comamonas_testosteroni"
4.436,6.95,0.652212468,235
4.444,6.18,0.455524872,9
4.026,4.38,0.587710074,148
3.367,7.65,0.343870362,224
3.706,4.7,0.617525208,464
3.318,3.63,0.468545045,91
3.813,5.07,0.32572039,1493
4.98,4.95,0.151202718,683
5.185,2.95,0.169667915,217
4.905,3.84,0.081781953,323
4.3,5.31,0.108191038,1509
4.387,3.87,0.155241935,1071
4.684,5.4,0.027210794,937
3.559,2.91,0.228074532,1190
4.827,4.39,0.125,903
4.818,3.13,-0.025960462,458
4.708,3.2,-0.019155056,147
4.539,4.55,-0.076889241,338
