"Xanthosine","Nt5m","score","Bacillus_cereus"
5.824,11.66,0.652212468,29363
6.116,10.33,0.455524872,39547
6.032,7.27,0.587710074,27445
3.088,7,0.343870362,29430
4.563,8.33,0.617525208,25915
5.285,8.05,0.468545045,38231
3.799,6.96,0.32572039,8153
5.057,7.37,0.151202718,25
4.882,7.39,0.169667915,12722
6.074,7.93,0.081781953,369
5.141,7.66,0.108191038,30
2.802,7.77,0.155241935,12945
2.743,8.85,0.027210794,0
3.64,6.85,0.228074532,0
5.013,7.59,0.125,0
4.878,6.63,-0.025960462,6
3.196,6.51,-0.019155056,0
2.801,8.17,-0.076889241,7
