"Homo.L.arginine","Nos1","score","Curtobacterium_oceanosedimentum"
4.436,0.01,0.652212468,0
4.444,0.03,0.455524872,0
4.026,0.03,0.587710074,0
3.367,0.04,0.343870362,3
3.706,0.01,0.617525208,8
3.318,0.01,0.468545045,0
3.813,0.03,0.32572039,48
4.98,0.01,0.151202718,24
5.185,0.41,0.169667915,0
4.905,0.02,0.081781953,13
4.3,0.02,0.108191038,40
4.387,0.01,0.155241935,31
4.684,0.03,0.027210794,0
3.559,0,0.228074532,13
4.827,0.01,0.125,0
4.818,0.03,-0.025960462,6
4.708,3.86,-0.019155056,0
4.539,0.01,-0.076889241,0
