Gene.id,Gene.name,Gene.description,FC,Pvalue,Padjust,Regulate
ENSMUSG00000058921,Slc10a5,"solute carrier family 10 (sodium/bile acid cotransporter family), member 5 [Source:MGI Symbol;Acc:MGI:2685251]",0.324576036,2.98E-08,1.84E-05,down
ENSMUSG00000051331,Cacna1c,"calcium channel, voltage-dependent, L type, alpha 1C subunit [Source:MGI Symbol;Acc:MGI:103013]",0.675770397,9.37E-07,0.000270158,down
ENSMUSG00000109904,Gm45819,predicted gene 45819 [Source:MGI Symbol;Acc:MGI:5804934],0.396260848,3.74E-06,0.000704915,down
ENSMUSG00000068373,D430041D05Rik,RIKEN cDNA D430041D05 gene [Source:MGI Symbol;Acc:MGI:2181743],0.568254623,7.10E-06,0.001032462,down
ENSMUSG00000036437,Npy1r,neuropeptide Y receptor Y1 [Source:MGI Symbol;Acc:MGI:104963],0.359210254,9.60E-06,0.001184353,down
ENSMUSG00000070047,Fat1,FAT atypical cadherin 1 [Source:MGI Symbol;Acc:MGI:109168],0.674321441,1.30E-05,0.001430255,down
ENSMUSG00000058914,C1qtnf3,C1q and tumor necrosis factor related protein 3 [Source:MGI Symbol;Acc:MGI:1932136],0.341808648,1.44E-05,0.001546752,down
ENSMUSG00000039385,Cdh6,cadherin 6 [Source:MGI Symbol;Acc:MGI:107435],0.458417337,3.24E-05,0.002543839,down
ENSMUSG00000027340,Slc23a2,"solute carrier family 23 (nucleobase transporters), member 2 [Source:MGI Symbol;Acc:MGI:1859682]",0.618101721,4.88E-05,0.003368173,down
ENSMUSG00000033102,Cdc14b,CDC14 cell division cycle 14B [Source:MGI Symbol;Acc:MGI:2441808],0.692221564,5.17E-05,0.003461456,down
ENSMUSG00000024544,Ldlrad4,low density lipoprotein receptor class A domain containing 4 [Source:MGI Symbol;Acc:MGI:1277150],0.59450514,6.24E-05,0.003955229,down
ENSMUSG00000043668,Tox3,TOX high mobility group box family member 3 [Source:MGI Symbol;Acc:MGI:3039593],0.460346666,6.37E-05,0.003966818,down
ENSMUSG00000049804,Armcx4,"armadillo repeat containing, X-linked 4 [Source:MGI Symbol;Acc:MGI:2147887]",0.524915678,6.44E-05,0.00397936,down
ENSMUSG00000026163,Sphkap,"SPHK1 interactor, AKAP domain containing [Source:MGI Symbol;Acc:MGI:1924879]",0.302417008,6.83E-05,0.004124908,down
ENSMUSG00000040183,Ankrd6,ankyrin repeat domain 6 [Source:MGI Symbol;Acc:MGI:2154278],0.565066657,7.01E-05,0.004140509,down
ENSMUSG00000047910,Pcdhb16,protocadherin beta 16 [Source:MGI Symbol;Acc:MGI:2136752],0.562254522,7.62E-05,0.004274127,down
ENSMUSG00000026389,Steap3,STEAP family member 3 [Source:MGI Symbol;Acc:MGI:1915678],0.588377316,8.83E-05,0.004683299,down
ENSMUSG00000047193,Dync2h1,dynein cytoplasmic 2 heavy chain 1 [Source:MGI Symbol;Acc:MGI:107736],0.585634264,9.18E-05,0.004785883,down
ENSMUSG00000041439,Mfsd6,major facilitator superfamily domain containing 6 [Source:MGI Symbol;Acc:MGI:1922925],0.7051634,9.39E-05,0.004843434,down
ENSMUSG00000093577,Gm20632,predicted gene 20632 [Source:MGI Symbol;Acc:MGI:5313079],0.650319197,0.000104051,0.005154417,down
ENSMUSG00000040040,Ift88,intraflagellar transport 88 [Source:MGI Symbol;Acc:MGI:98715],0.67878115,0.000117249,0.005503302,down
ENSMUSG00000074505,Fat3,FAT atypical cadherin 3 [Source:MGI Symbol;Acc:MGI:2444314],0.47000781,0.000118034,0.005511221,down
ENSMUSG00000056708,Ier5,immediate early response 5 [Source:MGI Symbol;Acc:MGI:1337072],1.782143024,1.82E-06,0.005844679,up
ENSMUSG00000076508,Igkv17-127,immunoglobulin kappa variable 17-127 [Source:MGI Symbol;Acc:MGI:3646891],8.449858594,1.19E-06,0.005844679,up
ENSMUSG00000073077,Cfap47,cilia and flagella associated protein 47 [Source:MGI Symbol;Acc:MGI:3781475],0.496526848,0.000137976,0.006018091,down
ENSMUSG00000055485,Soga1,"suppressor of glucose, autophagy associated 1 [Source:MGI Symbol;Acc:MGI:2444575]",0.551733788,0.000140241,0.00608721,down
ENSMUSG00000035566,Pcdh17,protocadherin 17 [Source:MGI Symbol;Acc:MGI:2684924],0.474622441,0.00015432,0.006493409,down
ENSMUSG00000061576,Dpp6,dipeptidylpeptidase 6 [Source:MGI Symbol;Acc:MGI:94921],0.29149562,0.000163962,0.006771661,down
ENSMUSG00000028957,Per3,period circadian clock 3 [Source:MGI Symbol;Acc:MGI:1277134],0.458937592,0.00016871,0.006919837,down
ENSMUSG00000049537,Tecrl,"trans-2,3-enoyl-CoA reductase-like [Source:MGI Symbol;Acc:MGI:2444966]",0.411542039,0.000177446,0.007114952,down
ENSMUSG00000026131,Dst,dystonin [Source:MGI Symbol;Acc:MGI:104627],0.640478611,0.000180103,0.007189261,down
ENSMUSG00000034751,Mast4,microtubule associated serine/threonine kinase family member 4 [Source:MGI Symbol;Acc:MGI:1918885],0.657212409,0.000184058,0.007282106,down
ENSMUSG00000042487,Leo1,"Leo1, Paf1/RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:2685031]",1.741939523,3.18E-06,0.007543868,up
ENSMUSG00000033420,Antxr1,anthrax toxin receptor 1 [Source:MGI Symbol;Acc:MGI:1916788],0.701409544,0.000203819,0.007840351,down
ENSMUSG00000025893,Kbtbd3,kelch repeat and BTB (POZ) domain containing 3 [Source:MGI Symbol;Acc:MGI:1916399],0.661179178,0.000206055,0.007890522,down
ENSMUSG00000109510,Gm42417,"predicted gene, 42417 [Source:MGI Symbol;Acc:MGI:5649003]",0.072066906,0.000209032,0.007970404,down
ENSMUSG00000046743,Fat4,FAT atypical cadherin 4 [Source:MGI Symbol;Acc:MGI:3045256],0.480027153,0.000211455,0.008011553,down
ENSMUSG00000051627,H1f4,"H1.4 linker histone, cluster member [Source:MGI Symbol;Acc:MGI:1931527]",0.480178367,0.000211403,0.008011553,down
ENSMUSG00000041298,Katnal1,katanin p60 subunit A-like 1 [Source:MGI Symbol;Acc:MGI:2387638],0.710747424,0.000214079,0.008059747,down
ENSMUSG00000019894,Slc6a15,"solute carrier family 6 (neurotransmitter transporter), member 15 [Source:MGI Symbol;Acc:MGI:2143484]",0.404306423,0.00021454,0.008059759,down
ENSMUSG00000029155,Spata18,spermatogenesis associated 18 [Source:MGI Symbol;Acc:MGI:1920722],0.376149231,0.000223856,0.008357441,down
ENSMUSG00000066324,Bpnt2,"3'(2'), 5'-bisphosphate nucleotidase 2 [Source:MGI Symbol;Acc:MGI:1915720]",0.792573631,0.000245495,0.008851186,down
ENSMUSG00000066842,Hmcn1,hemicentin 1 [Source:MGI Symbol;Acc:MGI:2685047],0.442043174,0.00025328,0.009004786,down
ENSMUSG00000019945,Cabcoco1,ciliary associated calcium binding coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1920537],0.502001126,0.00026162,0.009119982,down
ENSMUSG00000019997,Ccn2,cellular communication network factor 2 [Source:MGI Symbol;Acc:MGI:95537],0.485565286,0.000264013,0.009167658,down
ENSMUSG00000022358,Fbxo32,F-box protein 32 [Source:MGI Symbol;Acc:MGI:1914981],0.692649818,0.000263906,0.009167658,down
ENSMUSG00000029211,Gabra4,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4 [Source:MGI Symbol;Acc:MGI:95616]",0.34224903,0.000266427,0.009180181,down
ENSMUSG00000064293,Cntn4,contactin 4 [Source:MGI Symbol;Acc:MGI:1095737],0.364745095,0.000285132,0.009533442,down
ENSMUSG00000074852,Hpse2,heparanase 2 [Source:MGI Symbol;Acc:MGI:2685814],0.47303136,0.000300409,0.009839216,down
ENSMUSG00000055632,Hmcn2,hemicentin 2 [Source:MGI Symbol;Acc:MGI:2677838],0.36561089,0.00030661,0.009969275,down
ENSMUSG00000032363,Adamts7,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7 [Source:MGI Symbol;Acc:MGI:1347346]",0.557814486,0.000333224,0.010594834,down
ENSMUSG00000021775,Nr1d2,"nuclear receptor subfamily 1, group D, member 2 [Source:MGI Symbol;Acc:MGI:2449205]",0.471207462,0.000346197,0.010918953,down
ENSMUSG00000025776,Crispld1,cysteine-rich secretory protein LCCL domain containing 1 [Source:MGI Symbol;Acc:MGI:1934666],0.496307506,0.000349645,0.010988916,down
ENSMUSG00000021838,Samd4,sterile alpha motif domain containing 4 [Source:MGI Symbol;Acc:MGI:1921730],0.593828052,0.000352672,0.010995319,down
ENSMUSG00000044749,Abca6,"ATP-binding cassette, sub-family A (ABC1), member 6 [Source:MGI Symbol;Acc:MGI:1923434]",0.41711902,0.000353537,0.010995319,down
ENSMUSG00000030048,Gkn3,gastrokine 3 [Source:MGI Symbol;Acc:MGI:1916138],0.307492807,0.000355952,0.011015246,down
ENSMUSG00000005580,Adcy9,adenylate cyclase 9 [Source:MGI Symbol;Acc:MGI:108450],0.57987042,0.000362102,0.011088146,down
ENSMUSG00000068740,Celsr2,"cadherin, EGF LAG seven-pass G-type receptor 2 [Source:MGI Symbol;Acc:MGI:1858235]",0.565063167,0.000368965,0.011183381,down
ENSMUSG00000025279,Dnase1l3,deoxyribonuclease 1-like 3 [Source:MGI Symbol;Acc:MGI:1314633],9.836232249,7.50E-06,0.011331248,up
ENSMUSG00000038070,Cntln,"centlein, centrosomal protein [Source:MGI Symbol;Acc:MGI:2443104]",0.736994615,0.000389448,0.011511569,down
